Field,Career,Skills,GPA,Extracurricular_Activities,Internships,Projects,Leadership_Positions,Field_Specific_Courses,Research_Experience,Coding_Skills,Communication_Skills,Problem_Solving_Skills,Teamwork_Skills,Analytical_Skills,Presentation_Skills,Networking_Skills,Industry_Certifications
Architecture,Market Research Analyst,"Problem Solving, Time Management, Critical Thinking",2.7871842027788674,4,0,0,1,7,1,0,3,4,4,3,1,2,0
Business,Lawyer,"Critical Thinking, Data Analysis, Python",3.828892398124956,7,0,0,1,0,1,3,1,0,3,2,2,0,0
Engineering,Analytical Chemist,"SQL, Problem Solving, Creativity",4.530748536624289,0,1,0,1,9,0,2,2,4,2,0,2,3,1
Computer Science,Nurse,"SQL, Creativity, Time Management",2.80993738494751,7,0,4,0,2,0,0,2,0,4,4,1,3,1
Medicine,Composer,"Creativity, Python, SQL",4.634204550316898,9,2,3,0,2,0,3,0,2,3,4,3,4,0
Chemistry,Financial Analyst,"Creativity, Critical Thinking, Data Analysis",4.704865267617766,7,1,2,0,2,1,0,4,1,3,3,4,2,0
Engineering,Music Therapist,"Data Analysis, Communication, Problem Solving",3.1555600462946303,1,1,4,0,8,1,4,1,3,4,0,1,3,0
Music,Curriculum Developer,"Time Management, Critical Thinking, Creativity",3.7821846418804275,7,2,3,0,8,0,2,4,3,3,4,3,0,1
Music,Financial Controller,"Critical Thinking, Python, Time Management",3.639249665436894,9,1,1,1,2,0,0,4,0,3,1,1,3,1
Physics,Biochemist,"SQL, Critical Thinking, Problem Solving",3.9377046562141005,9,2,2,0,4,1,2,1,4,0,4,1,0,1
Physics,Forensic Psychologist,"Communication, Research, SQL",3.1369283214522468,2,2,2,1,5,1,1,2,2,3,3,0,1,1
Biology,Software Developer,"Critical Thinking, Time Management, Team Leadership",3.945362781044258,9,0,4,1,7,0,1,3,4,3,0,1,4,1
Medicine,Manager,"Leadership, Project Management, Strategic Planning",3.3039357993410596,8,1,4,1,5,0,4,3,1,1,4,4,1,1
Computer Science,Musician,"Critical Thinking, Python, Time Management",4.096015183480569,2,0,3,0,0,1,2,2,0,0,1,0,1,0
Art,Cybersecurity Analyst,"Communication, Team Leadership, Critical Thinking",4.821206194661546,4,0,4,1,5,1,3,1,3,2,1,4,0,1
Education,Special Education Teacher,"SQL, Research, Communication",4.674225344992319,8,0,3,0,2,0,2,0,2,2,2,1,4,1
Business,Biologist,"Problem Solving, Communication, Critical Thinking",2.889951308031395,7,2,2,0,5,0,2,1,4,3,2,0,4,1
Art,Analytical Chemist,"SQL, Creativity, Communication",4.780378926881944,7,0,2,1,3,1,3,2,0,2,3,2,1,0
Law,Investment Banker,"Communication, Creativity, Critical Thinking",4.319532319356373,4,0,0,1,2,0,1,3,1,3,2,0,1,1
Marketing,Risk Analyst,"Communication, Research, Team Leadership",4.898335751802966,9,1,3,1,7,1,4,3,2,4,0,3,0,1
Medicine,Music Therapist,"Research, Time Management, Creativity",4.511967459579338,0,0,2,1,6,1,2,3,2,2,4,0,1,1
Engineering,Composer,"Problem Solving, Team Leadership, Creativity",3.8399509026854783,0,0,2,0,2,0,1,0,4,3,2,2,3,0
Engineering,Art Director,"Creative Thinking, Graphic Design, Adobe Suite",2.8154718602098425,1,0,2,1,9,0,0,0,2,4,4,4,3,1
Business,Forensic Psychologist,"Python, Data Analysis, Problem Solving",3.4637690977372877,9,0,0,1,3,0,4,0,0,0,2,0,3,0
Computer Science,Curriculum Developer,"Communication, Problem Solving, Critical Thinking",4.76831692396171,0,1,1,0,5,1,4,4,0,1,2,0,1,0
Psychology,Art Therapist,"Research, Team Leadership, Communication",3.5603713288718835,2,0,3,1,8,0,1,0,1,1,4,4,4,0
Psychology,Industrial-Organizational Psychologist,"Team Leadership, Time Management, Communication",2.6882001531476734,4,0,2,0,2,0,1,1,0,2,3,0,2,0
Finance,Lawyer,"SQL, Team Leadership, Problem Solving",3.1341362459051885,1,2,0,0,0,1,3,4,2,1,0,1,3,1
Art,Physicist,"Data Analysis, Research, Creativity",2.549992726436792,0,1,2,0,9,1,3,0,0,3,2,3,0,1
Art,Human Resources Specialist,"Problem Solving, SQL, Communication",4.294789813281943,1,1,4,0,9,0,3,4,0,1,1,4,2,0
Education,Urban Planner,"GIS, Urban Design, Zoning Laws",3.8979820697872523,2,1,2,0,0,0,1,3,4,1,0,3,0,1
Chemistry,Industrial-Organizational Psychologist,"Research, Python, Problem Solving",4.685248735192692,5,1,1,1,1,0,1,2,4,4,0,4,3,0
Engineering,Psychologist,"Team Leadership, Research, Data Analysis",4.579310577082564,4,0,4,1,9,1,4,3,2,1,2,2,1,1
Biology,Civil Engineer,"Research, Python, Communication",2.6000718875557007,0,1,1,1,2,1,2,3,4,3,0,1,2,1
Marketing,Nuclear Physicist,"Data Analysis, Research, Creativity",3.0241450267045504,5,0,2,1,9,0,4,2,0,1,3,1,3,0
Physics,Special Education Teacher,"Time Management, Communication, Creativity",4.051008999522615,9,1,4,1,0,1,1,0,3,2,3,0,1,1
Biology,Architect,"Research, Communication, Time Management",3.5465992654796636,3,0,2,1,8,0,3,1,4,3,0,3,1,0
Biology,Risk Analyst,"Research, Time Management, Data Analysis",3.8872996578235686,9,2,2,1,0,1,2,3,0,0,1,2,0,0
Marketing,Software Developer,"Time Management, Problem Solving, Team Leadership",3.62286431854218,2,2,4,0,7,1,4,1,4,1,1,4,4,0
Marketing,Industrial-Organizational Psychologist,"Data Analysis, Creativity, SQL",2.9785542328788033,8,2,4,1,1,0,3,2,2,4,4,0,4,0
Law,Landscape Architect,"Data Analysis, Python, Research",3.2875640591165993,0,2,1,0,0,0,2,1,1,3,1,4,1,1
Law,Legal Consultant,"Research, Creativity, Python",2.564150875912116,6,0,0,1,0,0,0,1,3,1,3,1,2,0
Physics,Fluid Mechanics Engineer,"Python, Time Management, SQL",3.5380975306213425,8,0,1,0,2,0,2,2,2,0,3,3,3,0
Engineering,Landscape Architect,"Communication, Creativity, Research",3.7747589501027843,4,2,1,0,9,1,0,4,4,3,4,0,0,0
Law,Cybersecurity Analyst,"Time Management, Creativity, SQL",4.041456751520527,2,2,0,0,8,0,4,4,3,2,4,4,1,0
Law,Web Developer,"Team Leadership, Data Analysis, SQL",4.309121407138738,1,0,2,0,7,0,4,4,4,1,3,4,4,0
Art,Forensic Psychologist,"Research, Creativity, Critical Thinking",4.019677437743644,4,2,4,1,4,1,3,0,2,1,2,3,4,0
Business,Manager,"Leadership, Project Management, Strategic Planning",3.526214471937592,0,2,4,0,2,1,4,2,0,4,4,4,3,0
Physics,Teacher,"Team Leadership, Data Analysis, Python",3.6887800355439992,6,0,4,1,1,0,4,1,1,4,0,1,0,1
Education,Financial Advisor,"Communication, Team Leadership, Data Analysis",4.749974280947022,2,2,4,0,9,1,3,4,3,3,3,1,3,0
Business,Data Scientist,"Problem Solving, SQL, Creativity",2.83607220311528,2,0,4,0,6,1,4,2,3,4,2,1,1,0
Computer Science,Teacher,"Research, Creativity, Problem Solving",3.057460725418918,4,0,2,1,2,1,1,2,0,2,3,2,4,0
Education,Nurse,"Team Leadership, Research, Creativity",3.7154412359158826,8,0,0,1,0,1,0,2,1,0,3,2,3,0
Marketing,Accountant,"Team Leadership, SQL, Python",2.7152045048672773,8,0,2,1,8,0,4,4,1,0,0,3,0,1
Medicine,Special Education Teacher,"Communication, Research, Python",3.6018315713812603,3,0,4,0,9,1,4,4,3,3,2,0,2,0
Business,Judge,"Communication, Problem Solving, Data Analysis",3.9144066156478683,7,2,3,1,6,1,3,2,2,4,3,3,2,0
Chemistry,Education Administrator,"Curriculum Design, Policy Management, Staff Supervision",3.4650159518620014,1,2,4,0,2,1,0,4,2,2,4,4,2,1
Marketing,Biotechnologist,"SQL, Research, Communication",4.922019861486525,3,1,1,1,8,1,0,1,2,1,3,1,1,1
Psychology,Biomedical Engineer,"Communication, SQL, Time Management",3.4462187713925028,4,0,4,1,1,1,4,2,0,3,1,2,2,1
Music,Financial Advisor,"Data Analysis, Research, Time Management",4.213013268152564,6,1,0,1,3,1,1,3,3,4,1,2,4,0
Finance,Brand Manager,"Time Management, SQL, Communication",3.8570257686664,9,1,4,1,8,1,0,3,4,0,1,0,2,0
Chemistry,Accountant,"Research, Problem Solving, SQL",3.879521113869933,0,0,3,1,2,1,0,0,1,0,1,2,3,1
Business,Counselor,"Time Management, Python, Team Leadership",3.9128272951617165,3,1,0,0,0,0,1,3,4,0,0,2,1,0
Engineering,Accountant,"Creativity, Problem Solving, Research",3.7277095993380978,9,2,4,0,6,0,1,1,2,0,0,2,2,1
Finance,Aerospace Engineer,"Critical Thinking, Communication, Creativity",2.865384627217137,5,0,0,1,2,1,2,2,3,0,4,0,0,0
Business,Art Director,"Creative Thinking, Graphic Design, Adobe Suite",2.852179223684222,5,0,3,0,0,1,2,4,3,3,2,1,3,0
Chemistry,Legal Analyst,"Python, Team Leadership, Data Analysis",4.167770153519452,0,0,4,1,6,1,4,1,2,1,2,1,2,1
Psychology,Art Director,"Creative Thinking, Graphic Design, Adobe Suite",3.333591254457648,1,1,4,1,1,1,3,1,4,3,4,4,0,0
Chemistry,Judge,"Team Leadership, Creativity, Research",4.822060597628278,8,1,1,0,1,0,2,4,1,1,4,3,1,1
Music,Surgeon,"Data Analysis, Team Leadership, Communication",2.5597616055680037,8,1,1,0,4,1,3,4,0,4,4,4,2,0
Biology,Nuclear Physicist,"Research, Creativity, Data Analysis",3.2723454518096373,7,0,2,1,9,0,3,2,2,2,2,1,4,0
Physics,Music Teacher,"Research, Creativity, Data Analysis",4.777117066152379,7,1,3,1,0,1,2,1,3,3,1,0,3,1
Finance,Art Therapist,"Data Analysis, Time Management, Communication",3.5828908468325302,1,1,3,0,4,1,0,0,2,4,0,4,1,1
Music,Animator,"Time Management, Data Analysis, Critical Thinking",2.825947578174759,4,1,0,0,2,1,0,0,1,3,2,2,4,1
Physics,Financial Controller,"Communication, Research, Problem Solving",3.63442743482389,5,1,2,1,6,0,0,2,1,0,4,3,0,0
Music,Dentist,"Data Analysis, Team Leadership, Communication",3.597711578458951,1,0,3,1,9,1,0,4,1,0,4,4,1,1
Engineering,Digital Marketing Specialist,"Team Leadership, SQL, Communication",4.759393624951256,5,1,4,1,2,0,0,2,3,3,4,4,2,1
Physics,Analytical Chemist,"Team Leadership, Communication, SQL",4.979628731080874,1,0,0,0,7,1,1,1,1,1,2,1,3,0
Business,Special Education Teacher,"Research, Critical Thinking, Team Leadership",3.2309056096476128,1,1,0,0,0,1,2,3,1,0,2,0,0,0
Physics,Physical Chemist,"Team Leadership, Problem Solving, Creativity",3.0687151907069197,4,2,1,0,8,1,0,1,3,4,4,3,2,0
Computer Science,Organic Chemist,"Team Leadership, Python, Creativity",4.385267302220215,8,1,1,1,3,0,0,1,3,4,1,2,1,1
Psychology,Graphic Designer,"Python, Team Leadership, Data Analysis",3.1112865329429673,9,1,1,1,0,0,2,0,1,3,3,3,1,1
Psychology,Teacher,"Creativity, Team Leadership, Time Management",3.1777072920576153,9,1,0,1,6,0,1,1,4,1,1,0,3,0
Music,Accountant,"Data Analysis, Critical Thinking, Communication",3.186166190453796,6,0,1,0,3,0,4,4,0,1,0,3,2,0
Finance,Investment Banker,"Python, Data Analysis, Creativity",4.694845807633398,0,0,0,0,4,1,4,1,3,2,1,1,4,0
Psychology,Physicist,"Research, Creativity, SQL",3.579184643070281,9,2,4,1,3,1,3,4,4,0,4,1,0,1
Computer Science,Astronomer,"Problem Solving, Team Leadership, Critical Thinking",3.3811934120705183,8,2,1,0,3,1,0,0,1,0,4,2,3,1
Chemistry,Chemist,"Analytical Chemistry, Lab Techniques, Spectroscopy",3.184802318184934,2,1,4,1,9,0,3,1,1,1,0,1,3,1
Law,AI Researcher,"Problem Solving, SQL, Time Management",4.0641559956946125,3,1,4,0,7,0,3,4,3,0,2,3,4,0
Computer Science,Musician,"Python, SQL, Communication",4.640988993428207,7,0,2,0,4,1,0,4,3,1,0,0,3,0
Physics,Investment Banker,"Data Analysis, Problem Solving, Communication",2.967340406724677,0,2,3,1,8,1,0,3,3,4,0,0,1,1
Biology,Quantum Physicist,"Communication, Team Leadership, Data Analysis",4.052851071503724,5,1,3,1,1,0,2,0,4,3,1,4,2,0
Physics,Financial Advisor,"Time Management, Communication, Problem Solving",3.7734907788459435,6,0,0,0,4,1,0,2,1,3,0,3,4,0
Art,Cybersecurity Analyst,"Problem Solving, Research, Team Leadership",3.6032537368060256,2,2,1,0,0,1,1,4,2,1,1,4,4,0
Law,Inorganic Chemist,"Python, Research, Critical Thinking",2.5738029971080167,7,0,0,0,0,1,4,4,4,2,0,0,0,1
Psychology,Legal Secretary,"Critical Thinking, Research, Data Analysis",3.3552742133333178,6,1,1,1,6,1,0,2,3,4,1,0,3,1
Physics,Fluid Mechanics Engineer,"Time Management, SQL, Problem Solving",4.294458779343851,1,2,0,1,1,0,4,0,4,4,2,3,3,0
Law,Curriculum Developer,"Problem Solving, Creativity, Team Leadership",4.554656987024955,6,0,4,1,2,0,2,1,3,0,3,3,2,0
Art,Dentist,"Time Management, Creativity, Critical Thinking",3.2066156028287933,8,0,3,0,4,1,0,1,2,1,1,1,3,0
Chemistry,Microbiologist,"Communication, Data Analysis, Research",3.7175275839576782,2,0,1,0,3,0,2,2,0,1,4,3,0,1
Law,Data Scientist,"Data Analysis, Time Management, Problem Solving",3.051570718338155,1,2,1,1,4,1,4,2,0,2,3,0,3,1
Biology,School Counselor,"SQL, Time Management, Communication",3.009838061294767,3,1,2,1,1,0,4,2,4,4,4,4,1,0
Art,Art Therapist,"Team Leadership, Communication, Creativity",3.7366915086351935,4,0,1,1,8,1,0,0,4,3,1,2,1,1
Computer Science,Biologist,"SQL, Communication, Creativity",2.6913492533949643,1,2,0,0,9,1,3,1,2,4,4,2,0,0
Music,Artist,"Research, Problem Solving, Team Leadership",3.256563365162714,7,2,4,1,5,1,4,2,1,1,4,2,2,1
Finance,Human Resources Specialist,"Python, Problem Solving, Research",3.8441258358998045,2,0,2,0,5,1,2,4,3,3,0,1,4,0
Marketing,Clinical Psychologist,"Data Analysis, Python, Communication",3.5548025130029837,2,0,2,0,7,0,1,0,3,3,2,3,4,0
Law,Artist,"Creativity, Communication, Problem Solving",2.6456263233603416,7,0,2,1,0,0,0,1,4,4,4,2,1,0
Art,Counselor,"Research, Creativity, Data Analysis",3.3260370865080278,1,1,2,0,3,1,3,0,4,1,2,2,0,1
Physics,Musician,"Problem Solving, SQL, Python",4.14980213602708,5,0,2,1,9,0,4,0,3,4,1,3,4,0
Psychology,Investment Banker,"Problem Solving, Python, Team Leadership",3.178512414956612,6,1,1,0,2,1,4,2,3,2,2,4,2,1
Architecture,Paralegal,"Problem Solving, Critical Thinking, Creativity",3.544973055351676,8,2,0,1,0,0,1,1,2,4,4,0,2,0
Psychology,Lawyer,"Critical Thinking, Problem Solving, SQL",4.3154895235163515,2,2,4,0,9,0,1,0,1,2,1,0,0,1
Music,Microbiologist,"Critical Thinking, Time Management, Problem Solving",4.8600279339188255,0,0,2,0,9,1,1,0,4,0,4,0,1,0
Engineering,Biochemist,"Critical Thinking, Research, Python",2.511181866803874,6,1,1,1,9,0,4,1,1,3,2,1,3,0
Medicine,Chemical Engineer,"Critical Thinking, Time Management, Python",2.5569901154423076,6,2,0,0,1,0,2,3,3,4,3,0,4,1
Art,Actuary,"Research, Problem Solving, Creativity",3.579782942880583,9,0,1,1,7,1,0,1,0,3,2,2,3,0
Computer Science,Mechanical Engineer,"Communication, SQL, Team Leadership",2.6303284224804697,1,2,4,1,1,0,0,2,2,0,1,3,3,1
Biology,Doctor,"Time Management, Critical Thinking, Communication",4.634125412585611,4,2,2,0,4,0,4,1,3,1,1,2,3,1
Engineering,Game Developer,"Creativity, SQL, Team Leadership",3.513852512411732,1,2,2,0,2,1,4,1,1,3,0,4,1,1
Education,Manager,"Leadership, Project Management, Strategic Planning",3.5759623600147674,7,2,4,0,6,0,4,1,4,2,3,4,1,0
Architecture,Physician Assistant,"Communication, Creativity, Python",2.6883260706941297,1,2,1,1,5,0,4,2,2,3,0,4,0,1
Medicine,Manager,"Leadership, Project Management, Strategic Planning",2.5229333787660884,6,1,3,0,3,0,0,3,3,4,1,4,3,0
Chemistry,Industrial-Organizational Psychologist,"Data Analysis, Time Management, Critical Thinking",3.102958467701784,8,0,2,1,5,0,3,1,1,4,4,2,4,1
Art,Graphic Designer,"Critical Thinking, Data Analysis, SQL",4.677282079417488,7,0,1,0,5,0,1,3,1,1,4,3,3,0
Computer Science,AI Researcher,"Communication, Critical Thinking, Creativity",4.821265398157534,9,1,0,0,1,0,0,4,2,2,1,3,3,0
Business,Microbiologist,"Research, Time Management, Team Leadership",3.2006872863492455,8,1,0,0,2,0,2,2,0,4,2,1,1,1
Psychology,Astronomer,"Problem Solving, Data Analysis, Team Leadership",3.3090793108605197,3,2,2,0,5,1,4,3,2,3,0,3,2,0
Art,Art Therapist,"Communication, Problem Solving, Research",4.080810919200851,3,2,0,0,8,1,2,4,3,3,2,0,3,1
Biology,Aerospace Engineer,"Critical Thinking, Research, Problem Solving",4.0262411736066195,3,0,3,0,5,0,4,0,3,2,3,1,1,1
Law,Industrial-Organizational Psychologist,"Team Leadership, Problem Solving, Research",2.663796644145215,6,1,3,0,3,1,0,0,1,3,0,4,4,0
Finance,School Counselor,"Communication, Research, Team Leadership",3.088908857621985,8,2,3,0,8,1,0,4,2,4,0,0,0,0
Architecture,Architect,"Creativity, Communication, SQL",4.044456880738271,7,1,4,0,9,1,0,0,3,2,2,1,1,0
Business,Legal Analyst,"Problem Solving, Communication, Team Leadership",4.231417607010806,4,2,0,1,5,1,3,1,3,1,3,2,4,1
Finance,Actuary,"Data Analysis, Creativity, Team Leadership",2.6107681263313167,3,0,2,0,0,0,1,4,4,4,4,0,4,1
Art,Physicist,"Research, Communication, Critical Thinking",3.5744683238829618,1,2,3,0,8,1,1,2,4,0,1,1,2,1
Biology,Composer,"Problem Solving, Team Leadership, Python",4.939633371038745,3,1,4,0,1,0,1,2,0,4,4,2,2,1
Computer Science,Zoologist,"Time Management, Critical Thinking, Data Analysis",3.43563365584685,1,0,1,0,5,1,0,3,4,2,4,0,0,0
Finance,Manager,"Leadership, Project Management, Strategic Planning",3.9228893552915283,5,1,2,1,6,0,4,2,1,4,4,2,3,0
Chemistry,Nuclear Physicist,"Communication, Research, Problem Solving",3.9247302712444254,4,2,1,1,8,0,4,3,3,3,4,4,4,0
Physics,Civil Engineer,"SQL, Creativity, Time Management",4.739031752452665,8,2,4,0,3,1,1,4,1,4,2,1,4,1
Law,AI Researcher,"SQL, Critical Thinking, Research",3.097748972310334,4,2,4,0,5,0,4,3,1,1,1,2,1,1
Business,Architect,"Problem Solving, Creativity, Python",2.9375578346179534,9,2,0,1,5,0,0,2,0,1,0,3,1,0
Physics,Investment Banker,"Problem Solving, Python, Critical Thinking",2.6140259352142503,4,2,4,0,7,1,1,3,1,0,1,1,2,1
Business,Art Director,"Creative Thinking, Graphic Design, Adobe Suite",3.7908072034770153,7,0,4,0,2,1,2,0,0,1,3,3,3,1
Art,Doctor,"Python, SQL, Creativity",3.1288888570142444,6,0,1,1,5,0,1,2,0,2,0,2,4,0
Architecture,Chemist,"Analytical Chemistry, Lab Techniques, Spectroscopy",3.2457513732818963,3,0,1,1,1,0,0,0,2,0,3,1,2,0
Education,Geneticist,"Research, Critical Thinking, Problem Solving",4.1999469114828045,9,0,1,1,2,1,4,1,0,2,2,0,3,0
Education,Biomedical Engineer,"Research, SQL, Data Analysis",4.004308925462531,1,0,1,0,9,1,1,3,0,4,2,3,4,1
Physics,Marketing Manager,"Team Leadership, Research, Communication",3.6055354704448663,3,0,0,1,4,0,2,4,0,2,1,1,2,0
Biology,Teacher,"Time Management, Problem Solving, SQL",4.333161739378058,8,2,3,0,3,1,1,1,4,4,4,2,3,0
Art,Credit Analyst,"Creativity, Research, SQL",4.904656971038518,9,1,0,1,4,0,4,0,4,1,1,2,3,0
Chemistry,Sound Engineer,"Communication, Research, Time Management",3.36897200647603,3,0,2,0,4,0,3,1,0,2,0,2,4,0
Architecture,Advertising Manager,"Time Management, Python, Critical Thinking",2.6507196332240586,2,0,4,0,1,1,3,4,2,0,3,0,2,0
Engineering,Web Developer,"Research, Time Management, Team Leadership",4.608786551910085,8,0,4,1,8,0,0,2,4,1,2,0,3,0
Engineering,Digital Marketing Specialist,"Critical Thinking, Communication, Creativity",3.0060755591880213,4,1,3,0,4,0,3,4,0,3,0,4,2,1
Computer Science,Counselor,"Critical Thinking, Communication, Time Management",4.265783654942947,9,1,0,0,7,1,3,3,1,4,0,4,0,0
Biology,Interior Designer,"Critical Thinking, Time Management, Creativity",3.2359393868885427,9,2,1,0,9,1,3,4,4,3,4,1,4,1
Physics,Investment Banker,"Python, Critical Thinking, Team Leadership",3.877642950689153,0,0,4,1,7,1,2,2,1,2,4,0,0,1
Computer Science,Legal Analyst,"Python, Critical Thinking, Data Analysis",3.107711719637679,6,0,1,1,7,0,4,0,4,4,2,3,1,0
Music,Game Developer,"Data Analysis, SQL, Python",4.434968256716783,3,0,0,1,9,0,0,2,1,4,1,1,0,0
Finance,Data Scientist,"Creativity, Problem Solving, Python",4.3312685164822735,1,0,0,1,2,1,4,3,1,4,4,4,2,1
Engineering,Conductor,"Python, Research, Data Analysis",3.602797594178664,4,1,2,0,2,0,2,0,1,4,1,1,1,0
Computer Science,Fluid Mechanics Engineer,"Team Leadership, Communication, Critical Thinking",2.7946131952500024,2,1,1,0,9,0,0,0,2,0,2,4,2,0
Music,School Psychologist,"Python, Data Analysis, Communication",4.050846384012646,9,2,1,1,8,0,0,4,4,4,4,3,4,1
Business,Chemical Engineer,"Critical Thinking, SQL, Research",4.801375087,5,0,4,1,1,1,0,0,0,0,4,4,4,0
Business,Biochemist,"Data Analysis, Python, Communication",3.660038930005163,0,1,0,1,0,0,2,1,0,1,2,4,4,0
Business,School Psychologist,"Research, Communication, SQL",2.950873855899998,0,2,0,0,9,1,4,3,1,1,2,4,4,1
Physics,Geneticist,"Team Leadership, Problem Solving, Time Management",3.1796265935633192,0,1,3,1,6,1,0,0,3,3,1,3,4,1
Psychology,Teacher,"Python, Creativity, Research",3.8363402709188548,9,0,1,0,4,0,2,2,3,4,3,1,0,0
Biology,Clinical Psychologist,"Time Management, Data Analysis, Problem Solving",4.05593411135386,9,1,1,0,0,1,0,3,0,0,1,3,3,0
Law,Astronomer,"Communication, Creativity, Team Leadership",3.5259550526186154,3,0,1,1,4,0,4,0,2,2,2,3,0,0
Chemistry,Market Research Analyst,"Communication, Team Leadership, Research",4.041768915871657,7,0,2,1,2,1,1,2,3,3,2,2,4,1
Psychology,Conductor,"Communication, Data Analysis, Problem Solving",3.3688912511713713,2,2,0,0,9,0,1,1,0,2,4,2,3,0
Education,Software Developer,"Problem Solving, Time Management, Communication",3.217964141065038,1,2,2,1,6,0,1,2,2,2,0,0,3,1
Finance,Brand Manager,"Time Management, Research, Team Leadership",3.599789046101707,4,0,2,0,7,1,2,1,4,3,0,1,4,1
Physics,Civil Engineer,"Team Leadership, SQL, Research",3.801897649420824,3,0,1,1,5,0,2,0,4,0,1,3,3,0
Medicine,Market Research Analyst,"Problem Solving, Critical Thinking, Creativity",2.7508441451957992,2,0,1,1,0,1,1,4,0,1,4,2,0,0
Biology,Education Administrator,"Curriculum Design, Policy Management, Staff Supervision",3.16140053143348,0,0,3,1,9,1,4,0,4,3,4,2,1,1
Medicine,Financial Analyst,"Creativity, Communication, Problem Solving",4.0100588168846745,3,1,4,1,1,0,0,1,2,3,1,3,3,0
Marketing,Dentist,"Problem Solving, Critical Thinking, Data Analysis",3.374530240712934,3,1,0,0,9,1,3,4,3,2,3,3,3,1
Engineering,Counselor,"Creativity, SQL, Time Management",3.635537461439725,3,2,2,1,9,1,3,4,3,0,3,1,1,0
Psychology,Illustrator,"Data Analysis, Problem Solving, Team Leadership",4.827988192702378,1,1,3,0,4,1,0,0,4,2,3,0,0,1
Law,Psychologist,"Research, Data Analysis, Python",4.0228120753298775,0,2,2,0,9,0,4,3,3,0,1,3,0,0
Education,Teacher,"Python, Critical Thinking, Team Leadership",3.7335323430437186,2,0,1,0,0,0,0,4,1,0,3,2,3,0
Art,Physician Assistant,"Team Leadership, Research, Communication",3.7520225737216615,4,0,2,0,4,1,2,3,4,0,4,2,1,0
Marketing,Lawyer,"Critical Thinking, Time Management, Research",4.916187816666697,4,1,4,0,6,0,4,2,2,4,1,0,4,0
Physics,Surgeon,"Team Leadership, SQL, Research",3.148243526453635,2,2,2,0,5,0,3,1,1,4,4,3,2,0
Engineering,Legal Analyst,"Data Analysis, Research, SQL",3.021052283960884,9,0,4,0,9,0,3,0,1,3,0,3,0,1
Finance,Risk Analyst,"Python, Problem Solving, Research",3.692329604793583,1,1,1,0,9,0,3,0,0,3,4,1,3,1
Law,Fluid Mechanics Engineer,"SQL, Team Leadership, Data Analysis",2.591020454692983,8,1,1,0,6,1,1,2,3,4,0,1,4,1
Art,Financial Analyst,"Data Analysis, Problem Solving, Research",2.761047707292218,4,2,0,0,0,1,0,0,1,1,1,3,3,0
Engineering,Accountant,"Creativity, Research, Communication",4.702256612433774,0,0,4,0,1,1,0,4,0,3,3,4,2,0
Marketing,Art Therapist,"Communication, Research, Data Analysis",3.347193458243889,9,0,4,1,1,0,0,3,4,3,1,4,1,1
Physics,Ecologist,"Time Management, Python, Creativity",3.4462026054557127,1,2,1,0,1,0,2,0,4,0,1,1,1,0
Marketing,Fluid Mechanics Engineer,"Research, Data Analysis, Time Management",2.667588424835677,6,0,4,1,4,1,0,4,2,4,2,1,0,0
Education,Physicist,"Python, SQL, Problem Solving",3.7817807411440887,6,1,1,1,8,1,1,2,1,0,4,1,2,0
Psychology,Urban Planner,"GIS, Urban Design, Zoning Laws",2.864937320822827,9,2,4,0,2,0,2,0,1,0,3,3,0,1
Education,Financial Analyst,"Creativity, SQL, Problem Solving",4.684870971623439,1,1,1,0,6,1,1,4,0,1,3,3,1,0
Chemistry,Brand Manager,"Critical Thinking, Communication, Data Analysis",4.701208296050851,3,1,0,0,3,0,3,2,1,4,2,4,1,1
Music,School Psychologist,"Problem Solving, Time Management, Research",3.580914442665195,8,0,1,1,3,1,2,0,1,2,3,3,2,1
Music,Legal Consultant,"Python, Data Analysis, SQL",4.3709320327130685,8,0,0,0,9,0,1,0,1,4,3,3,0,0
Computer Science,Forensic Psychologist,"Critical Thinking, Python, SQL",4.100819165005799,7,1,3,0,2,0,3,0,4,4,2,1,2,1
Engineering,Interior Designer,"SQL, Team Leadership, Problem Solving",4.754478522615465,7,2,0,0,9,0,4,3,1,0,4,3,2,0
Biology,Industrial-Organizational Psychologist,"Communication, Research, Creativity",4.905577373988627,3,2,4,0,9,1,2,3,2,1,4,4,2,0
Architecture,Acoustics Specialist,"Problem Solving, Creativity, Python",3.573267814733324,9,1,4,0,9,1,4,4,1,4,3,1,3,1
Music,Data Scientist,"Communication, Problem Solving, Python",3.7796799462082524,3,1,0,0,3,0,0,2,3,2,3,4,0,0
Music,Biologist,"Team Leadership, Data Analysis, Python",4.631354875404946,4,1,4,1,2,1,3,0,2,3,0,2,3,0
Medicine,Zoologist,"Communication, Data Analysis, Critical Thinking",2.7350279526518566,0,0,4,0,6,0,1,2,4,4,0,1,3,1
Physics,Game Developer,"Creativity, SQL, Team Leadership",4.294194529731201,6,1,4,0,3,1,0,1,0,1,0,0,2,0
Marketing,Nurse,"Data Analysis, Creativity, Critical Thinking",4.812766466267061,6,2,1,1,3,0,1,2,4,3,4,1,4,0
Physics,Mechanical Engineer,"Research, Communication, SQL",2.6727561705883645,7,1,4,1,8,0,3,3,3,1,4,3,4,1
Education,Conductor,"Team Leadership, Python, Creativity",2.725312692747913,0,0,0,0,4,0,0,3,1,1,4,3,2,0
